Genre,Color
A Cappella,#26D838
Abstract,#2691D8
Abstract Beats,#D826B5
Abstract Hip Hop,#9400D3
Abstract Idm,#269DD8
Abstractro,#D82626
Accordion,#D826C9
Acid House,#FFA07A
Acid Jazz,#8A2BE2
Acid Techno,#00FFFF
Acousmatic,#C6D826
Acoustic Blues,#1E90FF
Acoustic Pop,#FFC300
Adult Standards,#D8264F
African Percussion,#B5D826
African Rock,#FF4500
Afrikaans,#D8C926
Afrobeat,#3BD826
Afrobeats,#26D86A
Aggrotech,#C0D826
Albanian Pop,#FFC300
Album Rock,#FF4500
Albuquerque Indie,#FF69B4
Alternative Americana,#2685D8
Alternative Country,#D2691E
Alternative Dance,#6D26D8
Alternative Emo,#D8C626
Alternative Hardcore,#3226D8
Alternative Hip Hop,#9400D3
Alternative Metal,#555555
Alternative Metalcore,#555555
Alternative New Age,#268ED8
Alternative Pop,#FFC300
Alternative Pop Rock,#FF4500
Alternative R&b,#AFD826
Alternative Rock,#FF4500
Alternative Roots Rock,#FF4500
Ambeat,#C9D826
Ambient,#7FFFD4
Ambient Dub Techno,#00FFFF
Ambient Fusion,#7FFFD4
Ambient Idm,#7FFFD4
Ambient Psychill,#7FFFD4
Ambient Trance,#7FFFD4
Anarcho-punk,#FF0000
Andean,#D82658
Anime,#32D826
Anime Score,#D82638
Anti-folk,#DAA520
Antiviral Pop,#FFC300
Appalachian Folk,#DAA520
Arab Folk,#DAA520
Arab Pop,#FFC300
Arabesk,#D5D826
Argentine Indie,#FF69B4
Argentine Reggae,#32CD32
Argentine Rock,#FF4500
Armenian Folk,#DAA520
Art Rock,#FF4500
Athens Indie,#FF69B4
Atmospheric Black Metal,#555555
Atmospheric Post Rock,#FF4500
Atmospheric Post-metal,#555555
Aussietronica,#8826D8
Austindie,#FF69B4
Australian Alternative Rock,#FF4500
Australian Country,#D2691E
Australian Dance,#D83526
Australian Hip Hop,#9400D3
Australian Indie,#FF69B4
Australian Pop,#FFC300
Austrian Hip Hop,#9400D3
Austropop,#FFC300
Avant-garde,#268BD8
Avant-garde Jazz,#8A2BE2
Avantgarde Metal,#555555
Axe,#26D8BD
Azonto,#85D826
Bachata,#26D5D8
Baile Funk,#8B4513
Balearic,#4926D8
Balkan Brass,#3B26D8
Banda,#26CFD8
Bangla,#D82673
Barbershop,#D826A0
Barnemusikk,#2641D8
Barnmusik,#26D87C
Baroque,#7C26D8
Baroque Ensemble,#3B26D8
Basque Rock,#FF4500
Bass Music,#D82673
Bass Trip,#26D2D8
Bassline,#6D26D8
Bay Area Hip Hop,#9400D3
Beach Music,#D82652
Beatdown,#D82685
Beats & Rhymes,#D84626
Bebop,#D88526
Belgian Indie,#FF69B4
Belgian Rock,#FF4500
Belly Dance,#26CCD8
Belorush,#262FD8
Bemani,#D8267F
Benga,#D86126
Bhangra,#2682D8
Big Band,#26D8D5
Big Beat,#9D26D8
Big Room,#D8BD26
Black Death,#264CD8
Black Metal,#555555
Black Sludge,#D88526
Black Thrash,#85D826
Blackgaze,#2676D8
Blaskapelle,#26D8CC
Bluegrass,#D8A026
Blues,#1E90FF
Blues-rock,#FF4500
Blues-rock Guitar,#FF4500
Bmore,#D84926
Bolero,#D826AF
Boogaloo,#2670D8
Boogie-woogie,#2626D8
Bossa Nova,#2F26D8
Bossa Nova Jazz,#8A2BE2
Boston Rock,#FF4500
Bounce,#D8D226
Bouncy House,#FFA07A
Bow Pop,#FFC300
Boy Band,#3826D8
Brass Band,#5BD826
Brass Ensemble,#D8A926
Brazilian Composition,#26ACD8
Brazilian Gospel,#97D826
Brazilian Hip Hop,#9400D3
Brazilian Indie,#FF69B4
Brazilian Pop Music,#FFC300
Brazilian Punk,#FF0000
Breakbeat,#D82676
Breakcore,#8ED826
Breaks,#9426D8
Brega,#D826A3
Breton Folk,#DAA520
Brill Building Pop,#FFC300
British Alternative Rock,#FF4500
British Blues,#1E90FF
British Brass Band,#D83526
British Dance Band,#D82667
British Folk,#DAA520
British Indie Rock,#FF4500
British Invasion,#D82641
Britpop,#FFC300
Broadway,#D82679
Broken Beat,#7626D8
Brooklyn Indie,#FF69B4
Brostep,#A926D8
Brutal Death Metal,#555555
Brutal Deathcore,#26D855
Bubble Trance,#20B2AA
Bubblegum Dance,#9126D8
Bubblegum Pop,#FFC300
Bulgarian Rock,#FF4500
Byzantine,#2688D8
C-pop,#FFC300
C64,#D86126
C86,#26A9D8
Cabaret,#26D85B
Cajun,#AC26D8
Calypso,#8226D8
Canadian Country,#D2691E
Canadian Hip Hop,#9400D3
Canadian Indie,#FF69B4
Canadian Metal,#555555
Canadian Pop,#FFC300
Candy Pop,#FFC300
Cantautor,#6D26D8
Cante Flamenco,#D82691
Canterbury Scene,#D82685
Cantopop,#FFC300
Canzone Napoletana,#D826CC
Capoeira,#26D861
Carnatic,#61D826
Catstep,#2646D8
Caucasian Folk,#DAA520
Ccm,#A026D8
Ceilidh,#2697D8
Cello,#67D826
Celtic,#D82658
Celtic Christmas,#3ED826
Celtic Punk,#FF0000
Celtic Rock,#FF4500
Central Asian Folk,#DAA520
Chalga,#A9D826
Chamber Pop,#FFC300
Chanson,#76D826
Chanson Quebecois,#D84C26
Chaotic Black Metal,#555555
Chaotic Hardcore,#2685D8
Charred Death,#D82685
Chicago Blues,#1E90FF
Chicago House,#FFA07A
Chicago Indie,#FF69B4
Chicago Soul,#9932CC
Chicano Rap,#C9D826
Children's Christmas,#C626D8
Children's Music,#D8B226
Chilean Rock,#FF4500
Chill Groove,#AF26D8
Chill Lounge,#2652D8
Chill-out,#70D826
Chill-out Trance,#20B2AA
Chillstep,#D85526
Chillwave,#D84F26
Chinese Indie Rock,#FF4500
Chinese Opera,#26D8D2
Chinese Traditional,#26D82C
Chip Hop,#9400D3
Chiptune,#A626D8
Choral,#A626D8
Choro,#2926D8
Christian Alternative Rock,#FF4500
Christian Christmas,#269AD8
Christian Dance,#D88E26
Christian Hardcore,#26A9D8
Christian Hip Hop,#9400D3
Christian Metal,#555555
Christian Music,#269DD8
Christian Punk,#FF0000
Christian Rock,#FF4500
Christmas,#D8265B
Christmas Product,#6AD826
Cinematic Dubstep,#D88E26
Clarinet,#85D826
Classic Afrobeat,#D83226
Classic Belgian Pop,#FFC300
Classic Chinese Pop,#FFC300
Classic Colombian Pop,#FFC300
Classic Czech Pop,#FFC300
Classic Danish Pop,#FFC300
Classic Dutch Pop,#FFC300
Classic Eurovision,#26D8A9
Classic Finnish Pop,#FFC300
Classic Finnish Rock,#FF4500
Classic French Pop,#FFC300
Classic Funk Rock,#FF4500
Classic Garage Rock,#FF4500
Classic Italian Pop,#FFC300
Classic Norwegian Pop,#FFC300
Classic Peruvian Pop,#FFC300
Classic Polish Pop,#FFC300
Classic Psychedelic Rock,#FF4500
Classic Rock,#FF4500
Classic Russian Pop,#FFC300
Classic Russian Rock,#FF4500
Classic Schlager,#B5D826
Classic Soundtrack,#26D882
Classic Swedish Pop,#FFC300
Classic Turkish Pop,#FFC300
Classic Venezuelan Pop,#FFC300
Classical,#ADD8E6
Classical Christmas,#ADD8E6
Classical Flute,#ADD8E6
Classical Guitar,#ADD8E6
Classical Organ,#ADD8E6
Classical Performance,#ADD8E6
Classical Period,#ADD8E6
Classical Piano,#ADD8E6
College A Cappella,#2679D8
College Marching Band,#26C6D8
Colombian Rock,#FF4500
Columbus Ohio Indie,#FF69B4
Comedy,#2658D8
Comedy Rock,#FF4500
Comic,#5826D8
Commons,#262CD8
Complextro,#26D82F
Composition D,#2691D8
Concert Piano,#70D826
Consort,#D89726
Contemporary Classical,#ADD8E6
Contemporary Country,#D2691E
Contemporary Folk,#DAA520
Contemporary Jazz,#8A2BE2
Contemporary Post-bop,#7626D8
Cool Jazz,#8A2BE2
Corrosion,#26D8CF
Corsican Folk,#DAA520
Country,#D2691E
Country Blues,#1E90FF
Country Christmas,#D2691E
Country Dawn,#D2691E
Country Gospel,#D2691E
Country Road,#D2691E
Country Rock,#FF4500
Coupe Decale,#CF26D8
Coverchill,#D226D8
Covertrance,#20B2AA
Cowboy Western,#26A3D8
Cowpunk,#FF0000
Crack Rock Steady,#FF4500
Croatian Pop,#FFC300
Crossover Prog,#7FD826
Crossover Thrash,#A026D8
Crunk,#73D826
Crust Punk,#FF0000
Cryptic Black Metal,#555555
Cuban Rumba,#D82641
Cubaton,#26D8D8
Cumbia,#58D826
Cumbia Funk,#8B4513
Cumbia Sonidera,#2FD826
Cumbia Villera,#CF26D8
Cyber Metal,#555555
Czech Folk,#DAA520
Czech Rock,#FF4500
Dallas Indie,#FF69B4
Dance Pop,#FFC300
